Payment_Name,SM_Transmission_Date_ACH_File__c,Amount,Source_File
PY-01540931,2024-01-29,104.81,ACH_20240129.csv
PY-01540995,2023-12-20,88.09,ACH_20231220.csv
PY-01540996,2023-12-20,88.09,ACH_20231220.csv
PY-01540997,2023-12-20,83.63,ACH_20231220.csv
PY-01540998,2023-12-20,76.94,ACH_20231220.csv
PY-01540999,2024-02-08,76.94,ACH_20240208.csv
PY-01541000,2023-12-20,76.94,ACH_20231220.csv
PY-01541001,2024-02-08,76.94,ACH_20240208.csv
PY-01541002,2023-12-20,76.94,ACH_20231220.csv
PY-01541003,2023-12-20,76.94,ACH_20231220.csv
PY-01541004,2023-12-20,76.94,ACH_20231220.csv
PY-01541005,2024-02-08,44.03,ACH_20240208.csv
PY-01541006,2024-01-29,104.81,ACH_20240129.csv
PY-01541007,2023-12-20,104.81,ACH_20231220.csv
PY-01541008,2024-01-29,115.96,ACH_20240129.csv
PY-01541009,2023-12-20,88.09,ACH_20231220.csv
PY-01541010,2023-12-20,115.96,ACH_20231220.csv
PY-01541011,2023-12-20,88.09,ACH_20231220.csv
PY-01541012,2023-12-20,88.09,ACH_20231220.csv
PY-01541013,2024-01-29,221.89,ACH_20240129.csv
PY-01541014,2024-02-08,104.81,ACH_20240208.csv
PY-01541015,2023-12-20,94.33,ACH_20231220.csv
PY-01541016,2023-12-20,94.33,ACH_20231220.csv
PY-01541263,2023-12-21,83.61,ACH_20231221.csv
PY-01541264,2023-12-21,88.09,ACH_20231221.csv
PY-01541265,2023-12-21,88.09,ACH_20231221.csv
PY-01541266,2023-12-21,88.09,ACH_20231221.csv
PY-01541267,2023-12-21,76.94,ACH_20231221.csv
PY-01541268,2023-12-21,76.94,ACH_20231221.csv
PY-01541269,2023-12-21,88.09,ACH_20231221.csv
PY-01541270,2024-02-08,54.64,ACH_20240208.csv
PY-01541271,2023-12-21,54.64,ACH_20231221.csv
PY-01541272,2023-12-21,54.64,ACH_20231221.csv
PY-01541273,2023-12-21,54.64,ACH_20231221.csv
PY-01541274,2023-12-21,88.09,ACH_20231221.csv
PY-01541275,2023-12-21,88.09,ACH_20231221.csv
PY-01541276,2023-12-21,76.94,ACH_20231221.csv
PY-01541277,2024-02-08,76.94,ACH_20240208.csv
PY-01541278,2024-01-29,83.63,ACH_20240129.csv
PY-01541279,2023-12-21,76.94,ACH_20231221.csv
PY-01541280,2024-02-08,76.94,ACH_20240208.csv
PY-01541281,2023-12-21,76.94,ACH_20231221.csv
PY-01541282,2023-12-21,88.09,ACH_20231221.csv
PY-01541283,2024-01-29,88.09,ACH_20240129.csv
PY-01541284,2023-12-21,83.63,ACH_20231221.csv
PY-01541285,2024-01-29,76.94,ACH_20240129.csv
PY-01541286,2023-12-21,76.94,ACH_20231221.csv
PY-01541287,2024-01-29,115.96,ACH_20240129.csv
PY-01541288,2024-01-29,115.96,ACH_20240129.csv
PY-01541289,2023-12-21,88.09,ACH_20231221.csv
PY-01541290,2024-01-29,115.96,ACH_20240129.csv
PY-01541291,2024-01-29,115.96,ACH_20240129.csv
PY-01541292,2023-12-21,88.09,ACH_20231221.csv
PY-01541293,2024-02-08,88.09,ACH_20240208.csv
PY-01541294,2023-12-21,88.09,ACH_20231221.csv
PY-01541295,2023-12-21,88.09,ACH_20231221.csv
PY-01541296,2024-01-29,88.09,ACH_20240129.csv
PY-01541297,2023-12-21,88.09,ACH_20231221.csv
PY-01541298,2024-02-08,60.77,ACH_20240208.csv
PY-01541299,2023-12-21,51.94,ACH_20231221.csv
PY-01541622,2024-01-29,83.63,ACH_20240129.csv
PY-01541623,2023-12-22,88.09,ACH_20231222.csv
PY-01541624,2023-12-22,76.94,ACH_20231222.csv
PY-01541625,2023-12-22,54.64,ACH_20231222.csv
