Priority,Payment_Name,ContractNumber,SM_ACH_Order__c,Amount,Current_Payment_Status__c,Current_Check_Collection_Status__c,Current_Return_code__c,Current_Check_Collection_Date__c,Expected_Payment_Status__c,Expected_Check_Collection_Status__c,Expected_Return_code__c,Expected_Return_Change__c,Report_Txn_Date,Report_Source_File,Report_Type,Reason,Section,Mismatch_Type,Accepted_By_Timeout_Routine,Is_Test_or_VIP_Contract,LastModifiedDate,SM_Historical_Collection_Status__c,Estado_Aplicado
T1_CORREGIR_A_COBRADO,PY-01769831,00316112,a04UU00000Gg38LYAR,119,REJECTED,PENDING,,2025-12-30,ACCEPTED,COLLECTED,,,2025-12-30,Check Collections Jan 9-12 2026.pdf,collections,NSF,COLLECTED,NUNCA_APLICADO (el reporte dice COLLECTED/ACCEPTED pero el registro se quedo en un estado anterior),False,False,2026-09-09T15:00:37.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T1_CORREGIR_A_COBRADO,PY-01771572,00269990,a041U00000XuouNQAR,75,REJECTED,PENDING,,2025-12-31,ACCEPTED,COLLECTED,,,2025-12-31,Check Collections Jan 27 2026.pdf,collections,NSF,COLLECTED,NUNCA_APLICADO (el reporte dice COLLECTED/ACCEPTED pero el registro se quedo en un estado anterior),False,False,2026-09-09T15:01:15.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T1_CORREGIR_A_COBRADO,PY-01771583,00260856,a041U00000Xup2fQAB,79,REJECTED,PENDING,,2026-01-02,ACCEPTED,COLLECTED,,,2026-01-02,Check Collections Jan 21 2026.pdf,collections,NSF,COLLECTED,NUNCA_APLICADO (el reporte dice COLLECTED/ACCEPTED pero el registro se quedo en un estado anterior),False,False,2026-09-09T15:02:17.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T1_CORREGIR_A_COBRADO,PY-01771634,00312757,a04UU000001kXzhYAE,79,REJECTED,PENDING,,2025-12-31,ACCEPTED,COLLECTED,,,2025-12-31,Check Collections Jan 5-6 2026.pdf,collections,NSF,COLLECTED,NUNCA_APLICADO (el reporte dice COLLECTED/ACCEPTED pero el registro se quedo en un estado anterior),False,False,2026-09-09T15:01:15.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T1_CORREGIR_A_COBRADO,PY-01771687,00313880,a04UU0000080tHdYAI,79,REJECTED,PENDING,,2025-12-31,ACCEPTED,COLLECTED,,,2025-12-31,Check Collections Jan 5-6 2026.pdf,collections,NSF,COLLECTED,NUNCA_APLICADO (el reporte dice COLLECTED/ACCEPTED pero el registro se quedo en un estado anterior),False,False,2026-09-09T15:01:15.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T1_CORREGIR_A_COBRADO,PY-01771705,00314456,a04UU00000B188TYAR,79,REJECTED,PENDING,,2025-12-31,ACCEPTED,COLLECTED,,,2025-12-31,Check Collections Jan 13 2026.pdf,collections,NSF,COLLECTED,NUNCA_APLICADO (el reporte dice COLLECTED/ACCEPTED pero el registro se quedo en un estado anterior),False,False,2026-09-09T15:01:15.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T1_CORREGIR_A_COBRADO,PY-01771736,00314895,a04UU00000DdEObYAN,79,REJECTED,PENDING,,2025-12-31,ACCEPTED,COLLECTED,,,2025-12-31,Check Collections Jan 9-12 2026.pdf,collections,NSF,COLLECTED,NUNCA_APLICADO (el reporte dice COLLECTED/ACCEPTED pero el registro se quedo en un estado anterior),False,False,2026-09-09T15:01:15.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T1_CORREGIR_A_COBRADO,PY-01771740,00315078,a04UU00000DlnNaYAJ,79,REJECTED,PENDING,,2025-12-31,ACCEPTED,COLLECTED,,,2025-12-31,Check Collections Jan 13 2026.pdf,collections,NSF,COLLECTED,NUNCA_APLICADO (el reporte dice COLLECTED/ACCEPTED pero el registro se quedo en un estado anterior),False,False,2026-09-09T15:01:15.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T1_CORREGIR_A_COBRADO,PY-01771746,00315131,a04UU00000E7vG4YAJ,79,REJECTED,PENDING,,2025-12-31,ACCEPTED,COLLECTED,,,2025-12-31,Check Collections Jan 13 2026.pdf,collections,NSF,COLLECTED,NUNCA_APLICADO (el reporte dice COLLECTED/ACCEPTED pero el registro se quedo en un estado anterior),False,False,2026-09-09T15:01:15.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T1_CORREGIR_A_COBRADO,PY-01771758,00315069,a04UU00000EOl0vYAD,79,REJECTED,PENDING,,2025-12-31,ACCEPTED,COLLECTED,,,2025-12-31,Check Collections Jan 16 2026.pdf,collections,NSF,COLLECTED,NUNCA_APLICADO (el reporte dice COLLECTED/ACCEPTED pero el registro se quedo en un estado anterior),False,False,2026-09-09T15:01:15.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T1_CORREGIR_A_COBRADO,PY-01771770,00315222,a04UU00000ElvyrYAB,79,REJECTED,PENDING,,2025-12-31,ACCEPTED,COLLECTED,,,2025-12-31,Check Collections Jan 14-15 2026.pdf,collections,NSF,COLLECTED,NUNCA_APLICADO (el reporte dice COLLECTED/ACCEPTED pero el registro se quedo en un estado anterior),False,False,2026-09-09T15:01:15.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T1_CORREGIR_A_COBRADO,PY-01771773,00312988,a04UU00000ErX2bYAF,104,REJECTED,PENDING,,2025-12-31,ACCEPTED,COLLECTED,,,2025-12-31,Check Collections Jan 8 2026.pdf,collections,NSF,COLLECTED,NUNCA_APLICADO (el reporte dice COLLECTED/ACCEPTED pero el registro se quedo en un estado anterior),False,False,2026-09-09T15:01:15.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T1_CORREGIR_A_COBRADO,PY-01771798,00313524,a04UU00000FHsrVYAT,104,REJECTED,PENDING,,2026-01-02,ACCEPTED,COLLECTED,,,2026-01-02,Check Collections Jan 13 2026.pdf,collections,NSF,COLLECTED,NUNCA_APLICADO (el reporte dice COLLECTED/ACCEPTED pero el registro se quedo en un estado anterior),False,False,2026-09-09T15:02:17.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
