ContractNumber;Status;Invoice;Invoice Status;Subscription;Subscription Status;Payment (Asociados al Invoice);Payment Status
00317092;Cancelled;2105;PAID;16BQczVG1gutM3hV;CANCELLED;1;REJECTED x1
00317061;Cancelled;573;PAID;AzZSe4VFY5kqT1X9T;CANCELLED;12;REJECTED x12
00317061;Cancelled;637;PAID;AzZSe4VFY5kqT1X9T;CANCELLED;12;REJECTED x12
00317061;Cancelled;1992;PAID;AzZSe4VFY5kqT1X9T;CANCELLED;3;REJECTED x3
00317061;Cancelled;2114;PAID;AzZSe4VFY5kqT1X9T;CANCELLED;3;REJECTED x3
00317131;Cancelled;476;PAID;16BRxFVGQDbOeD46;CANCELLED;13;REJECTED x13
00317131;Cancelled;495;PAID;16BRxFVGQDbOeD46;CANCELLED;13;REJECTED x13
00317131;Cancelled;991;PAID;16BRxFVGQDbOeD46;CANCELLED;2;REJECTED x2
00317131;Cancelled;995;PAID;16BRxFVGQDbOeD46;CANCELLED;2;REJECTED x2
00315809;Cancelled;1336;PAID;AzZkSCVKpYcKC1SyF;CANCELLED;1;REJECTED x1
00315809;Cancelled;1337;PAID;AzZkSCVKpYcKC1SyF;CANCELLED;1;REJECTED x1
00315809;Cancelled;1338;PAID;AzZkSCVKpYcKC1SyF;CANCELLED;1;REJECTED x1
00317350;Cancelled;825;PAID;AzZdgDVIqmsEb4sy;CANCELLED;10;REJECTED x10
00317350;Cancelled;865;PAID;AzZdgDVIqmsEb4sy;CANCELLED;10;REJECTED x10
00317350;Cancelled;2742;PAID;AzZdgDVIqmsEb4sy;CANCELLED;1;REJECTED x1
00317350;Cancelled;2851;PAID;AzZdgDVIqmsEb4sy;CANCELLED;5;REJECTED x5
00317344;Cancelled;823;PAID;AzyuNDVImcnvL8Uz;CANCELLED;2;REJECTED x2
00317344;Cancelled;2773;PAID;AzyuNDVImcnvL8Uz;CANCELLED;1;REJECTED x1
