Payment_Name,Resultado,Ultimo_Estado_Indice,Fecha,Archivo_Origen,Fuente
PY-01890514,CONSISTENTE_PENDING,PENDING,2026-09-01,CheckCollectionDailyReport_09022026.pdf,Collections
PY-01890515,CONSISTENTE_PENDING,PENDING,2026-09-01,CheckCollectionDailyReport_09022026.pdf,Collections
PY-01890516,CONSISTENTE_PENDING,PENDING,2026-09-01,CheckCollectionDailyReport_09022026.pdf,Collections
PY-01890517,CONSISTENTE_PENDING,PENDING,2026-09-01,CheckCollectionDailyReport_09022026.pdf,Collections
PY-01890519,CONSISTENTE_PENDING,PENDING,2026-09-01,CheckCollectionDailyReport_09022026.pdf,Collections
PY-01890520,CONSISTENTE_PENDING,PENDING,2026-09-01,CheckCollectionDailyReport_09022026.pdf,Collections
PY-01890521,CONSISTENTE_PENDING,PENDING,2026-09-01,CheckCollectionDailyReport_09022026.pdf,Collections
PY-01890522,CONSISTENTE_PENDING,PENDING,2026-09-01,CheckCollectionDailyReport_09022026.pdf,Collections
PY-01890523,CONSISTENTE_PENDING,PENDING,2026-09-01,CheckCollectionDailyReport_09022026.pdf,Collections
PY-01890524,CONSISTENTE_PENDING,PENDING,2026-09-01,CheckCollectionDailyReport_09022026.pdf,Collections
PY-01890525,CONSISTENTE_PENDING,PENDING,2026-09-01,CheckCollectionDailyReport_09022026.pdf,Collections
PY-01890526,CONSISTENTE_PENDING,PENDING,2026-09-01,CheckCollectionDailyReport_09022026.pdf,Collections
PY-01890527,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01890528,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01890531,CONSISTENTE_PENDING,PENDING,2026-09-01,CheckCollectionDailyReport_09022026.pdf,Collections
PY-01890532,CONSISTENTE_PENDING,PENDING,2026-09-02,CheckCollectionDailyReport_09032026.pdf,Collections
PY-01890536,CONSISTENTE_PENDING,PENDING,2026-09-01,CheckCollectionDailyReport_09022026.pdf,Collections
PY-01890539,CONSISTENTE_PENDING,PENDING,2026-09-01,CheckCollectionDailyReport_09022026.pdf,Collections
PY-01890540,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01890541,CONSISTENTE_PENDING,PENDING,2026-09-01,CheckCollectionDailyReport_09022026.pdf,Collections
PY-01890543,CONSISTENTE_PENDING,PENDING,2026-09-01,CheckCollectionDailyReport_09022026.pdf,Collections
PY-01890558,CONSISTENTE_PENDING,PENDING,2026-09-01,CheckCollectionDailyReport_09022026.pdf,Collections
PY-01890562,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01890563,CONSISTENTE_PENDING,PENDING,2026-09-01,CheckCollectionDailyReport_09022026.pdf,Collections
PY-01890575,CONSISTENTE_PENDING,PENDING,2026-09-01,CheckCollectionDailyReport_09022026.pdf,Collections
PY-01892870,CONSISTENTE_PENDING,PENDING,2026-09-02,CheckCollectionDailyReport_09032026.pdf,Collections
PY-01892872,CONSISTENTE_PENDING,PENDING,2026-09-02,CheckCollectionDailyReport_09032026.pdf,Collections
PY-01892874,CONSISTENTE_PENDING,PENDING,2026-09-02,CheckCollectionDailyReport_09032026.pdf,Collections
PY-01892878,CONSISTENTE_PENDING,PENDING,2026-09-02,CheckCollectionDailyReport_09032026.pdf,Collections
PY-01892879,CONSISTENTE_PENDING,PENDING,2026-09-02,CheckCollectionDailyReport_09032026.pdf,Collections
PY-01894033,CONSISTENTE_PENDING,PENDING,2026-09-03,CheckCollectionDailyReport_09042026.pdf,Collections
PY-01894036,CONSISTENTE_PENDING,PENDING,2026-09-03,CheckCollectionDailyReport_09042026.pdf,Collections
PY-01894040,CONSISTENTE_PENDING,PENDING,2026-09-03,CheckCollectionDailyReport_09042026.pdf,Collections
PY-01894041,CONSISTENTE_PENDING,PENDING,2026-09-03,CheckCollectionDailyReport_09042026.pdf,Collections
PY-01894042,CONSISTENTE_PENDING,PENDING,2026-09-03,CheckCollectionDailyReport_09042026.pdf,Collections
PY-01894590,CONSISTENTE_PENDING,PENDING,2026-09-03,CheckCollectionDailyReport_09042026.pdf,Collections
PY-01894595,CONSISTENTE_PENDING,PENDING,2026-09-03,CheckCollectionDailyReport_09042026.pdf,Collections
PY-01894597,CONSISTENTE_PENDING,PENDING,2026-09-03,CheckCollectionDailyReport_09042026.pdf,Collections
PY-01894619,CONSISTENTE_PENDING,PENDING,2026-09-03,CheckCollectionDailyReport_09042026.pdf,Collections
PY-01894630,CONSISTENTE_PENDING,PENDING,2026-09-03,CheckCollectionDailyReport_09042026.pdf,Collections
PY-01894638,CONSISTENTE_PENDING,PENDING,2026-09-03,CheckCollectionDailyReport_09042026.pdf,Collections
PY-01894641,CONSISTENTE_PENDING,PENDING,2026-09-03,CheckCollectionDailyReport_09042026.pdf,Collections
