ContractNumber,Estado,FechaUltimaRevision,Detalle
00314903,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314981,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314982,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314998,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315006,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315033,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315066,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315070,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315103,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315106,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315165,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315176,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315177,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315234,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315250,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315303,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315345,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315494,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315702,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315703,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315751,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315754,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315803,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315990,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316010,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316124,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316074,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316078,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316202,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316204,PENDING_ACH_PAYMENT,2026-09-22,PY-01804568 en PENDING
00316313,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316406,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316464,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316537,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316580,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316670,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316868,CANCELLED_OK,2026-09-22,ACH ya resuelto
00317022,CANCELLED_OK,2026-09-22,ACH ya resuelto
